user_name,email,platform,amount,currency,description,earned_at
"Kavya Menon","kavya.menon45@gmail.com","Upwork",15702.10,INR,"DevOps Setup",2025-12-23
"Kavya Menon","kavya.menon45@gmail.com","Upwork",20363.75,INR,"Mobile App Development",2026-01-29
"Kavya Menon","kavya.menon45@gmail.com","Upwork",2578.33,INR,"Landing Page Design",2026-02-22
"Kavya Menon","kavya.menon45@gmail.com","Upwork",3424.25,INR,"Bug Fix Sprint",2025-11-13
"Kavya Menon","kavya.menon45@gmail.com","Upwork",711.11,INR,"React Frontend Build",2025-12-03
"Wasim Sethi","wasim.sethi80@gmail.com","Upwork",20443.52,INR,"Bug Fix Sprint",2025-11-27
"Wasim Sethi","wasim.sethi80@gmail.com","Upwork",24999.61,INR,"React Frontend Build",2025-11-21
"Wasim Sethi","wasim.sethi80@gmail.com","Upwork",9486.22,INR,"Mobile App Development",2026-02-26
"Wasim Sethi","wasim.sethi80@gmail.com","Upwork",24897.09,INR,"React Frontend Build",2026-01-05
"Wasim Sethi","wasim.sethi80@gmail.com","Upwork",12387.05,INR,"Web Development Project",2025-10-14
"Wasim Sethi","wasim.sethi80@gmail.com","Upwork",20755.88,INR,"Database Optimization",2026-01-02
"Wasim Sethi","wasim.sethi80@gmail.com","Upwork",7777.51,INR,"WordPress Plugin",2025-09-23
"Wasim Sethi","wasim.sethi80@gmail.com","Upwork",19100.29,INR,"Full Stack Project",2025-12-05
"Wasim Sethi","wasim.sethi80@gmail.com","Fiverr",4497.84,INR,"Photo Editing",2025-11-23
"Wasim Sethi","wasim.sethi80@gmail.com","Fiverr",10865.42,INR,"Voice Over",2026-01-27
"Wasim Sethi","wasim.sethi80@gmail.com","Fiverr",6378.64,INR,"Video Editing",2025-10-13
"Wasim Sethi","wasim.sethi80@gmail.com","Freelancer.com",24124.85,INR,"IoT Dashboard",2025-11-07
"Wasim Sethi","wasim.sethi80@gmail.com","Freelancer.com",1183.41,INR,"Cloud Migration",2025-10-20
"Wasim Sethi","wasim.sethi80@gmail.com","Freelancer.com",21428.94,INR,"Android App",2025-11-15
"Wasim Sethi","wasim.sethi80@gmail.com","Freelancer.com",9494.10,INR,"Python Script Development",2025-11-28
"Harish Menon","harish.menon31@gmail.com","Freelancer.com",3152.94,INR,"Machine Learning Model",2025-10-01
"Harish Menon","harish.menon31@gmail.com","Freelancer.com",21785.26,INR,"Android App",2026-01-20
"Harish Menon","harish.menon31@gmail.com","Freelancer.com",9483.46,INR,"Blockchain Integration",2025-11-08
"Harish Menon","harish.menon31@gmail.com","Upwork",18928.23,INR,"DevOps Setup",2025-09-13
"Harish Menon","harish.menon31@gmail.com","Upwork",17077.19,INR,"DevOps Setup",2025-11-24
"Harish Menon","harish.menon31@gmail.com","Upwork",14262.30,INR,"Landing Page Design",2026-02-26
"Harish Menon","harish.menon31@gmail.com","Upwork",1625.92,INR,"WordPress Plugin",2025-11-03
"Harish Menon","harish.menon31@gmail.com","Upwork",6148.40,INR,"Mobile App Development",2025-12-24
"Harish Menon","harish.menon31@gmail.com","Upwork",2824.16,INR,"Web Development Project",2025-09-15
"Harish Menon","harish.menon31@gmail.com","Upwork",7791.62,INR,"SEO Optimization",2025-09-10
"Harish Menon","harish.menon31@gmail.com","Fiverr",4411.11,INR,"Logo Design",2026-01-22
"Harish Menon","harish.menon31@gmail.com","Fiverr",18093.78,INR,"Resume Writing",2026-01-23
"Harish Menon","harish.menon31@gmail.com","Fiverr",11013.40,INR,"Resume Writing",2026-01-05
"Harish Menon","harish.menon31@gmail.com","Fiverr",2410.61,INR,"Virtual Assistant",2026-02-01
"Ileana Yadav","ileana.yadav67@gmail.com","Upwork",21429.92,INR,"Code Review",2025-09-10
"Ileana Yadav","ileana.yadav67@gmail.com","Upwork",1278.68,INR,"API Integration",2025-12-18
"Ileana Yadav","ileana.yadav67@gmail.com","Upwork",19823.44,INR,"Mobile App Development",2025-11-11
"Ileana Yadav","ileana.yadav67@gmail.com","Fiverr",18192.29,INR,"Whiteboard Animation",2026-02-16
"Ileana Yadav","ileana.yadav67@gmail.com","Fiverr",6629.55,INR,"Data Entry",2026-01-08
"Ileana Yadav","ileana.yadav67@gmail.com","Fiverr",24931.04,INR,"Data Entry",2025-09-09
"Ileana Yadav","ileana.yadav67@gmail.com","Fiverr",6951.67,INR,"Social Media Management",2026-01-03
"Ileana Yadav","ileana.yadav67@gmail.com","Fiverr",513.53,INR,"Copywriting",2025-10-11
"Ileana Yadav","ileana.yadav67@gmail.com","Fiverr",21819.45,INR,"Data Entry",2025-11-29
"Ileana Yadav","ileana.yadav67@gmail.com","Fiverr",2753.09,INR,"Translation Service",2025-10-10
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Freelancer.com",20870.82,INR,"Payment Gateway Setup",2025-11-02
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Freelancer.com",565.99,INR,"Game Development",2025-11-08
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Freelancer.com",19699.67,INR,"Cloud Migration",2026-03-03
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Upwork",6686.02,INR,"DevOps Setup",2025-12-07
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Upwork",19160.31,INR,"UI/UX Design Review",2025-11-14
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Upwork",14723.32,INR,"Bug Fix Sprint",2025-11-03
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Upwork",11893.30,INR,"Bug Fix Sprint",2026-02-04
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Upwork",8955.96,INR,"API Integration",2026-01-27
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Upwork",5814.81,INR,"Web Development Project",2026-01-04
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Upwork",3568.31,INR,"Bug Fix Sprint",2026-01-28
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Fiverr",13635.07,INR,"Resume Writing",2025-12-16
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Fiverr",10549.34,INR,"Whiteboard Animation",2025-10-27
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Fiverr",4289.44,INR,"Copywriting",2025-09-29
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Fiverr",11705.28,INR,"Voice Over",2025-12-16
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Fiverr",8096.63,INR,"Video Editing",2026-03-07
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Fiverr",4618.96,INR,"Video Editing",2025-12-11
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","Fiverr",7713.59,INR,"Social Media Management",2025-10-26
"Meera Menon","meera.menon66@gmail.com","Upwork",5454.24,INR,"API Integration",2025-11-15
"Meera Menon","meera.menon66@gmail.com","Upwork",23109.67,INR,"Bug Fix Sprint",2026-02-26
"Meera Menon","meera.menon66@gmail.com","Upwork",7872.05,INR,"Node.js Backend Service",2025-11-07
"Meera Menon","meera.menon66@gmail.com","Upwork",17870.05,INR,"API Integration",2026-01-16
"Bhavna Thakur","bhavna.thakur14@gmail.com","Upwork",8250.75,INR,"Technical Writing",2025-10-06
"Bhavna Thakur","bhavna.thakur14@gmail.com","Upwork",20403.82,INR,"Code Review",2025-12-16
"Bhavna Thakur","bhavna.thakur14@gmail.com","Upwork",12114.77,INR,"API Integration",2025-09-10
"Bhavna Thakur","bhavna.thakur14@gmail.com","Upwork",12698.48,INR,"Full Stack Project",2025-09-17
"Bhavna Thakur","bhavna.thakur14@gmail.com","Fiverr",1289.32,INR,"Voice Over",2026-02-19
"Bhavna Thakur","bhavna.thakur14@gmail.com","Fiverr",2174.98,INR,"Illustration",2026-02-08
"Bhavna Thakur","bhavna.thakur14@gmail.com","Fiverr",11122.23,INR,"Data Entry",2025-12-26
"Bhavna Thakur","bhavna.thakur14@gmail.com","Fiverr",9421.73,INR,"Voice Over",2026-01-31
"Bhavna Thakur","bhavna.thakur14@gmail.com","Fiverr",4359.62,INR,"Graphic Design",2026-02-12
"Bhavna Thakur","bhavna.thakur14@gmail.com","Fiverr",21589.99,INR,"Podcast Editing",2025-11-30
"Bhavna Thakur","bhavna.thakur14@gmail.com","Fiverr",22755.09,INR,"Podcast Editing",2025-11-18
"Bhavna Thakur","bhavna.thakur14@gmail.com","Freelancer.com",19132.96,INR,"Excel Automation",2025-11-05
"Bhavna Thakur","bhavna.thakur14@gmail.com","Freelancer.com",1730.40,INR,"Chatbot Development",2026-01-06
"Bhavna Thakur","bhavna.thakur14@gmail.com","Freelancer.com",8205.01,INR,"Python Script Development",2026-02-19
"Bhavna Thakur","bhavna.thakur14@gmail.com","Freelancer.com",7088.05,INR,"Chatbot Development",2025-09-12
"Bhavna Thakur","bhavna.thakur14@gmail.com","Freelancer.com",4219.58,INR,"Data Analysis Report",2026-01-19
"Bhavna Thakur","bhavna.thakur14@gmail.com","Freelancer.com",1391.04,INR,"Cloud Migration",2026-01-11
"Bhavna Thakur","bhavna.thakur14@gmail.com","Freelancer.com",11481.61,INR,"Blockchain Integration",2025-12-07
"Bhavna Thakur","bhavna.thakur14@gmail.com","Freelancer.com",3841.68,INR,"ETL Pipeline",2025-11-19
"Venkat Banerjee","venkat.banerjee62@gmail.com","Upwork",11497.20,INR,"React Frontend Build",2026-02-15
"Venkat Banerjee","venkat.banerjee62@gmail.com","Upwork",583.74,INR,"WordPress Plugin",2025-11-11
"Venkat Banerjee","venkat.banerjee62@gmail.com","Upwork",16438.50,INR,"UI/UX Design Review",2026-02-03
"Venkat Banerjee","venkat.banerjee62@gmail.com","Upwork",7494.82,INR,"DevOps Setup",2025-09-14
"Venkat Banerjee","venkat.banerjee62@gmail.com","Upwork",10286.16,INR,"DevOps Setup",2026-02-24
"Zeeshan Mehta","zeeshan.mehta47@gmail.com","Freelancer.com",13487.49,INR,"Machine Learning Model",2026-03-05
"Zeeshan Mehta","zeeshan.mehta47@gmail.com","Freelancer.com",13816.39,INR,"ETL Pipeline",2025-10-19
"Zeeshan Mehta","zeeshan.mehta47@gmail.com","Freelancer.com",2548.40,INR,"Machine Learning Model",2025-09-29
"Zeeshan Mehta","zeeshan.mehta47@gmail.com","Freelancer.com",14086.50,INR,"Game Development",2025-10-13
"Zeeshan Mehta","zeeshan.mehta47@gmail.com","Freelancer.com",22060.22,INR,"Machine Learning Model",2025-12-02
"Nisha Deshmukh","nisha.deshmukh30@gmail.com","Upwork",21408.81,INR,"UI/UX Design Review",2025-11-13
"Nisha Deshmukh","nisha.deshmukh30@gmail.com","Upwork",15580.41,INR,"Bug Fix Sprint",2025-09-09
"Nisha Deshmukh","nisha.deshmukh30@gmail.com","Upwork",13467.70,INR,"Code Review",2026-01-18
"Nisha Deshmukh","nisha.deshmukh30@gmail.com","Fiverr",9578.53,INR,"Graphic Design",2025-11-06
"Nisha Deshmukh","nisha.deshmukh30@gmail.com","Fiverr",18836.67,INR,"Content Writing",2025-10-02
"Nisha Deshmukh","nisha.deshmukh30@gmail.com","Fiverr",7438.14,INR,"Voice Over",2026-01-26
"Nisha Deshmukh","nisha.deshmukh30@gmail.com","Fiverr",7350.57,INR,"Translation Service",2026-03-07
"Chitra Menon","chitra.menon27@gmail.com","Upwork",8832.94,INR,"React Frontend Build",2026-01-30
"Chitra Menon","chitra.menon27@gmail.com","Upwork",22785.98,INR,"Technical Writing",2026-01-10
"Chitra Menon","chitra.menon27@gmail.com","Upwork",21281.67,INR,"Full Stack Project",2025-12-06
