name,email,password,earnings_count,connected_platforms
"Tarun Kancherla","tarun.kancherla.ch@gmail.com","freelancer123",1,"Toptal"
"Revanth K","chowdarie4899@gmail.com","freelancer123",1,"Freelancer"
"Sreelatha K","tarunkancherla1@gmail.com","freelancer123",0,""
"Kavya Menon","kavya.menon45@gmail.com","freelancer123",9,"Upwork"
"Wasim Sethi","wasim.sethi80@gmail.com","freelancer123",15,"Fiverr | Freelancer.com"
"Harish Menon","harish.menon31@gmail.com","freelancer123",14,"Freelancer.com | Upwork | Fiverr"
"Ileana Yadav","ileana.yadav67@gmail.com","freelancer123",10,"Upwork | Fiverr"
"Aditya Deshmukh","aditya.deshmukh63@gmail.com","freelancer123",17,"Freelancer.com | Upwork | Fiverr"
"Meera Menon","meera.menon66@gmail.com","freelancer123",4,"Upwork"
"Bhavna Thakur","bhavna.thakur14@gmail.com","freelancer123",19,"Upwork | Fiverr | Freelancer.com"
"Venkat Banerjee","venkat.banerjee62@gmail.com","freelancer123",5,"Upwork"
"Zeeshan Mehta","zeeshan.mehta47@gmail.com","freelancer123",5,"Freelancer.com"
"Nisha Deshmukh","nisha.deshmukh30@gmail.com","freelancer123",7,"Upwork | Fiverr"
"Chitra Menon","chitra.menon27@gmail.com","freelancer123",18,"Upwork | Fiverr | Freelancer.com"
"Omika Mishra","omika.mishra16@gmail.com","freelancer123",8,"Upwork"
"Aditya Arora","aditya.arora50@gmail.com","freelancer123",9,"Freelancer.com | Fiverr"
"Rani Thakur","rani.thakur33@gmail.com","freelancer123",10,"Freelancer.com | Fiverr"
"Isha Chauhan","isha.chauhan5@gmail.com","freelancer123",5,"Freelancer.com"
"Eshan Bhatia","eshan.bhatia85@gmail.com","freelancer123",10,"Upwork | Fiverr"
"Chitra Tiwari","chitra.tiwari80@gmail.com","freelancer123",13,"Upwork | Fiverr"
"Reyansh Mukherjee","reyansh.mukherjee13@gmail.com","freelancer123",17,"Fiverr | Upwork | Freelancer.com"
"Aditya Srivastava","aditya.srivastava98@gmail.com","freelancer123",6,"Fiverr"
